382d671b ADRatio
e4460934 AFKDetection2
7e668ce7 AORadius
06942b7c AOStrength
5b251bd4 AP
e30c799f APRatio
8f061404 ARAM
a5d9189b ARSR
5e25208d AS
dbe35112 ASBoostMax
c5cfa6b8 ASBoostMin
92b5a83e ASMultiplier
dc58b4ae AbilityObject
fb33f2f3 AbilityObject
c88c6b61 AbilityPowerIncPerLevel
dcc344a6 AbilityResetUI
ce31c975 AbilityResourceSlotInfo
8be259f9 Absorbed
d9547c40 ActivationDelay
ef1820ba ActivationDistance
e453a5c6 ActiveSpellFix
8298075e AdaptiveAD
969826da AdaptiveAP
6f039626 AdaptiveForce
ee172090 AdditionalCharacters
a0dcaa4c AdditionalMovementSpeed
7a54fa42 AdditionalTargets
d5ef6d17 Airborne
8eee23e5 AllowBloom
e0b63a87 Ally
df73f8e2 AlwaysSnapFacing
1c9640eb Ambient
5b9b0daf Ammo
f5fb07c7 AnimationGraphData
9a4b299d AnimationResourceData
dba87fe5 AoeCoefficient
f84984d4 Armor
7bc8a2a1 ArmorBase
da11ad7b ArmorPerLevel
159f78f0 Ascension
f6e337bc Assassinate
8b57d2cd AttachCooldown
dee32af0 AttackChampion2D
cdd2b9ad AttackMinion2D
06ad3499 AttackSlotData
7a209a48 AttackSpeed
00f8f60d AttackSpeedBase
28df1da6 AttackSpeedMax
1acb7fe4 AttackSpeedMin
1bdbaedf AttackSpeedPerLevel
60c51c2b AttackSpeedRatio
f68eb447 AutoBuffActivateAttachBoneNames
7f5cd9e0 AutoBuffActivateEffects
a4416515 BankUnit
78bdcbc1 BannerFlagData
d47ce07c BannerFrameData
8df65353 Baron
a2621347 BarrackMinion
c4441218 BaseCritChance
03da00f9 BaseDamage
46e315e9 BaseDamageHigh
68ed6c75 BaseDamageLow
411dc52e BaseGold
39ce8652 BaseHeal
6a93f10e BaseHealing
b8c92edb BaseHot
2fa68f7a BaseScale
a8c1dce1 BaseShield
d488fdc9 BasedOnMap
4948cbcb BattleFury
a1bef65d BaublesSpell
a0f69e3c Behaviors
a2734825 Blinded
df1422ce BlockAmount
e2e5893f BlockBase
606d5c89 BlockCount
1b11cc9e BlockDuration
75527324 BlockMax
160da1c3 Blocks
58022635 BonusDamage
03698d8a BonusGold
5260b352 BonusHealth
ffdea211 BonusHealthRatio
7367fdae BonusLethality
6c1bbb46 BonusMPen
c9a72b68 BonusMS
8bd55898 BonusPercentDamage
2dadc088 BonusResistMax
43c16ae2 BonusResistMin
98b04fef BonusShieldMult
69f22033 BonusSlowResist
b8781631 BonusTenacity
fffa7852 Boots
db634ca8 BounceDamage
8e93d8ee Breakpoint
6e304492 BreakpointAmount
66d991d0 Browsing
4633d794 BuffData
d955a324 BuffDuration
92f50a07 BuffName
9ab26724 BuffTextureName
595c3d6c BuyItem
f27c8b50 CDR
dff5a8f8 CameraConfig
5a1d6084 CanLoadLuaFromLooseFiles
32dd4bd4 CapBurstEmitters
fd985966 Cases
aa25504e Cast
7738aa28 CastConeAngle
5c46e292 CastConeDistance
4e47141f CastFrame
453edffa CastLockoutTime
d9f51778 CastOnHit
b7250b1c CastRadius
8f6f40e6 CastRadiusSecondary
1b9cbd9b CastRange
d4c233b3 CastRangeDisplayOverride
4c77a6c3 CastRangeUseBoundingBoxes
4ee9bb1f CastTargetAdditionalUnitsRadius
66257047 CastTime
1286df69 ChallengerRecall
ea595ca6 Champion
b30a8edb ChampionCombatCooldown
1925fa94 ChampionDamagePenalty
c1679f60 ChampionHealing
a5d193ef ChampionMasteryMap
9292a6c1 Chance
d94733d6 ChangeMissileSpeed
2ac71ccc ChannelDuration
8b3aa710 Character
082ffaf1 CharacterLists
fc4f4b05 CharacterPreloadData
4a2608e1 CharacterPreloadList
ac971e62 CharacterPreloads
23ea1915 CharacterRecord
905580d9 Characters
e55245ad Characters/Aatrox
46226a0b Characters/Aatrox/CAC/Aatrox_Skin02
056322dd Characters/Aatrox/Spells/AatroxBasicAttack
6a0ffe3d Characters/Aatrox/Spells/AatroxBasicAttack2
690ffcaa Characters/Aatrox/Spells/AatroxBasicAttack3
ba77ec9d Characters/Aatrox/Spells/AatroxCritAttack
f5774ad8 Characters/Aatrox/Spells/AatroxE
890dbfe6 Characters/Aatrox/Spells/AatroxPassive
38b41712 Characters/Aatrox/Spells/AatroxPassiveAttack
418fb738 Characters/Aatrox/Spells/AatroxPassiveDebuff
7af4b5a5 Characters/Aatrox/Spells/AatroxPassiveReady
09776a54 Characters/Aatrox/Spells/AatroxQ
4cfc7e92 Characters/Aatrox/Spells/AatroxQ2
4dfc8025 Characters/Aatrox/Spells/AatroxQ3
1fe7f602 Characters/Aatrox/Spells/AatroxQChannel1
b1d86988 Characters/Aatrox/Spells/AatroxQWrapperCast
643b9389 Characters/Aatrox/Spells/AatroxRAbility
aa9e630c Characters/Aatrox/Spells/AatroxRAttack1
ad9e67c5 Characters/Aatrox/Spells/AatroxRAttack2
082ffa8a Characters/Aatrox/Spells/AatroxRMovementSpeedManager
37493d68 Characters/Aatrox/Spells/AatroxRRevive
0777672e Characters/Aatrox/Spells/AatroxW
9b42be17 Characters/Aatrox/Spells/AatroxWSlow
b086171e Characters/Ahri
