e55245ad Characters/Aatrox
6f29c8c5 Characters/Aatrox/CAC/Aatrox_Base
46226a0b Characters/Aatrox/CAC/Aatrox_Skin02
30f16d38 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Crit_Hit_Tar
b471f469 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Crit_Trail
c9b49568 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Hit_Tar01
ccb49a21 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Hit_Tar02
1fb3af50 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Trail_01
22b3b409 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Trail_02
21b3b276 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_AA_Trail_03
2c0d8728 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Dance_Ground
5891e290 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Death_ambers
23ac426b Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_E_Active_buff
5ca173c7 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_E_Dash
c7298aaf Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_E_Dash2
9b8e8c84 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_E_Dash_trail
1bb05ac9 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_E_Heal
b6f0474f Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_P_Activate
9a6074cd Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_P_Attack_trail
4d774670 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_P_Debuff
fa49296f Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_P_Hit_Tar
f5227cdd Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_P_Ready
42749d85 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Passive_Sheathe_Sword
c862767c Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Hit_Tar
d27730b6 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Indicator_01
4b740d35 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Indicator_01_Ally
d1772f23 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Indicator_02
d3ca1ae2 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Indicator_02_Ally
d0772d90 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Indicator_03
348fc74f Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Indicator_03_Ally
88ae8017 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Sweet_hit_tar
e7f437f1 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Trail_01
e4f43338 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Trail_02
e5f434cb Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_Trail_03
ff276d87 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_cas1
00276f1a Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_cas2
012770ad Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Q_cas3
9b540c5e Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_Attack_01
9a540acb Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_Attack_02
c47b6efa Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_Fear
cb4774dc Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_Revive_Diration_Sword
b5c8eb26 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_Revive_Duration
9b19f167 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_Revive_end
d3e27546 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_R_SpeedBuff
91f29a30 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Recall_Beam
935227f8 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Recall_Ground
34e0250e Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Recall_Hand_glow
6e2f2ac9 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Recall_Weapon_glow
90af7179 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_Taunt_Ground
ebf0051e Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Beam_Tar
e4ffe446 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Beam_Tar_Break
ce2852bc Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Beam_Tar_Pull
5283a0f6 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Cas
cac68606 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Core
f35ee9c6 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Core_Area
c463c4a8 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Core_End
7cd2bbea Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Hand_glow_cas
68048a0e Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_Hit_Tar
6df8a3f8 Characters/Aatrox/Skins/Skin0/Particles/Aatrox_Base_W_mis
d6868570 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Crit_Hit_Tar
c32e04f1 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Crit_Trail
8e71dbd0 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Hit_Tar01
9171e089 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Hit_Tar02
06f538e8 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Trail_01
09f53da1 Characters/Aatrox/Skins/Skin1/Particles/Aatrox_Skin01_AA_Trail_02
