e4460934 AFKDetection2
b88bfcb2 AbilityHasteMax
97aaccb3 AbilityLossIcon
c88c6b61 AbilityPowerIncPerLevel
8be259f9 Absorbed
2904e822 ActionButtonDefinition
b5b54664 Actions
e453a5c6 ActiveSpellFix
8c28daf6 ActiveTooltipTraKey
275a7247 ActiveTraitButtonTemplate
1df3a429 AddFriendButtonDefinition
5989220d AdditionalRoots
c78c9a29 AdviceCharBorder0
c68c9896 AdviceCharBorder1
3b1fdb59 AdviceCharBorderHover0
3a1fd9c6 AdviceCharBorderHover1
f4d2ce3c AdviceCharIcon0
f5d2cfcf AdviceCharIcon1
aec4c360 AdviceEmptyIconDefault
e9a0a7f1 AdviceEmptyText
2fc43f29 AdviceEmptyTextHover
c59afad1 AdviceIconDefault
13f36cf9 AdviceLabel
d5ef6d17 Airborne
f6021445 AllItemsHeaderRegion
da5f7006 AllItemsHeaderText
63f6810c AllItemsIconDefinition
b5c9c4ef AllItemsItemRegion
1429a941 AlliedElementGroup
6211de87 AlliedElements
8eee23e5 AllowBloom
6ee92909 AllowCharacterMaterials
c576c85a AllowDefaultCharacterMaterialCreation
5b9b0daf Ammo
f785ce49 Amount
efd29e97 AnimationGDS
0b5ad48b AnimationPool
cf15f26a Animations
1df05e4b Announcements
25e5198f AnnouncementsMapping
5af22504 AntiTrollPingAfterDeath
e7d30d42 ArenaInfoPanel
f84984d4 Armor
b7bf62a1 ArmorPenetration
346b8e71 AsyncLoading
8fc9b870 AsynchronousClientNetworking
989f1d2f AsynchronousNetworking
9cce0d5a AttachedToBone
cd79ab0b AttachmentName
0d1788bd AttackBlindIcon
439d079f AttackLossIcon
3b182105 AudioBankPaths
189600ee AudioBankUnits
f1695b8d AudioFlexValueParameterName
76503b91 AudioType
f68eb447 AutoBuffActivateAttachBoneNames
7f5cd9e0 AutoBuffActivateEffects
52aecb41 BBScriptProfileDump
93c0f4f7 Backdrop
fce8e78c BackgroundTexture
c6040c09 BankPaths
250cef17 BannerData
83d47180 BarBackdrop
b16f7307 BarFill
fb0fa193 BarHitRegion
a2621347 BarrackMinion
84ff70c0 BaseData
8f4a2881 BaseMaterial
bac6b669 BaseOutputIconModifier
2fa68f7a BaseScale
2d15f18c BaseSpellEffectiveness
d488fdc9 BasedOnMap
4948cbcb BattleFury
e3dc40d3 BattlepassButtonDefinition
a1bef65d BaublesSpell
3ba01201 BeginPatchingButtonDefinition
091fa8ec BitIndex
999ec9a6 BlendInTime
8d1a7a7d BlendOutTime
a2734825 Blinded
c967b34f Bloodwell
25834918 BlueTeamElementSelectedColor
df925021 BlueTeamElementUnselectedColor
87f1c91c BodyKey
d2af59ed BodyTraKey
a458b855 BonusOutputIconModifier
c1948a38 Book
e1f94e91 BootsPanelDefinition
c7878a1b BounceRadius
6e304492 BreakpointAmount
5855caa8 BriefText
0e1a23ca BriefTextBackdrop
3f0d4c0f BuffAddType
2ac59a87 BuildTreeIconDefinition
6e43f0a2 BuildingBlocksDontLookToPTP
464daf3a BuildsIntoIconDefinition
5dedab86 BundleItemFrameHoverIcon
70e33256 BundleItemFrameIcon
456ae8d3 BundleItemIcon
5a9e9148 BundleStackText
a4eddce1 Button1Definition
7ef45c5c Button2Definition
013bb8da BuyExpButton
d8c2bcff CCScore
0ae88c3b CallForHelpSpike
6463e656 CanBeMadeObsolete
5a1d6084 CanLoadLuaFromLooseFiles
87cf41fe CancelButtonDefinition
f0d0b6e3 CancelButtonIcons
9c1a0f62 CannonMinionLaneRotation
32dd4bd4 CapBurstEmitters
839b7f88 CardDefault
21487589 CardHoverMythic
7ae2c38b CardHoverMythicVfx
4b1c7874 CardHoverNonMythic
0b4cf0a8 CardHoverNonMythicVfx
f2b60494 CardRefreshMythicVfx
3002e1a9 CardRefreshNonMythicVfx
aa98a764 CardSelectedMythic
e158e738 CardSelectedMythicVfx
482cc73f CardSelectedNonMythic
d122d71d CardSelectedNonMythicVfx
fd985966 Cases
882db0cc CastAllButtonDefinition
453edffa CastLockoutTime
66257047 CastTime
e966c494 CategoryColor
b3f33cf8 ChampionButtonTemplate
4a4e8672 ChampionsPerRow
9292a6c1 Chance
2ac71ccc ChannelDuration
be3da0e1 ChannelingEndAutoAttackReset
ac971e62 CharacterPreloads
4508cb51 Charmed
9c13b204 ChasingAttackRangePercent
0125a0ca ChatAnnouncementOnly
83c44739 ChatMessageKey
f6150a17 ClampTimeToAnimateCastTo0
b18e5e08 ClearAllButtonDefinition
c74c762c ClearButtonTemplate
cea34a2c ClearUndoHistoryOnActivate
7babfb4e ClickReleaseParticleElement
353d5286 CloseButtonDefinition
5a3c65d9 CloseButtonTemplate
6337823d CloudsTexturePath
cac1b6d2 Coefficient
125f7f6e ColorblindPalette
6b8648e5 Column0LabelTraKey
758026f0 Column1LabelTraKey
34c7d48f Column2LabelTraKey
fa957187 ComboBoxDefinition
14ff2afd CommonElements
376fbc1d CommonlyBuiltIconDefinition
0d47a855 CompanionInfoPanel
56ecde12 Companions
d212fabe Condition
80e0d0b7 Conditions
3b98458c ConeCheckFlagOverride
b2c3d7b9 Configuration
c072a4f2 ConfirmButtonDefinition
429b4e07 ConfirmButtonIcons
151d3b4d ConnectionButton
e76c9b56 ConsumablesPanelDefinition
b9e79a12 ContentScene
9acc1fc1 ContinueButtonDefinition
042576f3 ControlPoint1
05257886 ControlPoint2
f38e6a9f CostText
1df75d2e CostTextSelected
d2e9b1b7 CostTextUnpurchaseable
39b1ddf4 Count
bc7fb120 Countdown
e3cf2582 CriticalStrike
e5561300 Cue
11e50af6 CurrentExpText
782dfa79 CurrentPlayerHighlight
dafe4144 CurrentRatingText
2bce6144 CursorDataInGDS
a3fa11d8 CursorScaling
676d35d4 CursorUiUpdate
bb429484 CustomSequences
fb910cc2 CustomTable
cc60e6a2 CycleBasedScaleAddition
e70c8908 CycleTime
a0dc95ba DamageBuffName
4293e6ae DamageDisplayData
0a671d7b DamageFlowTakeDealDamageFlip
d17c71e5 DamageProperties
661bf241 DamageSkinInfoPanel
871c0429 DamageTags
f6f283a3 DamageTakenPie
aae01626 DataCollections
93f230bf DeathEventType
0198b2f4 DeathRecapRework
1ddf1633 DeathRecapShowcaseUi
0d707920 DeathRecapTransitionIn
5b30d065 DeathRecapTransitionOut
5864ed98 Debug
726b2aa4 DebugCharacterLists
1da36d92 DebugPrintCCScoreToChat
933b5bde Default
73e8c79a DefaultAdjustments
d603f9d5 DefaultBlankMaterial
15bfbe28 DefaultCharacterStats
8e6ce07e DefaultData
fe7cef23 DefaultMaterial
4ac45539 DefaultPalette
db62c463 DefaultState
4f50f19a DefaultTextureName
0617e21f DefaultValue
51afd9e4 DefenseModifierIcons
9a032455 Dest
b2de64bf Destination
4ebb0d28 DetachedAnimationParticlesUseOwnerVisibility
de45833d DetailsTraKey
a15b1f92 DetailsTransitionData
59391a1a DeterministicRandom
514a365c DirectedTrackingElement
cded8c63 Disable
4bc37f00 DisableAllSkins
498f96ad DisableAutoSNR
a4aefed3 DisableDDR
336b8266 DisableDisasterRecovery2Temporary
92daa0f7 DisableRenderUIChatOSX
6347bcb8 DisableRenderUIChatWindows
7d19fee1 DisableRenderUiChatFrames
8e6d8a28 DisableStatFilters
4e7c06c9 DisableSubFrameThrottles
8e2676a9 DisabledIds
cd11c337 DisabledTargetLaserEffects
54819796 Disarmed
cd255b9e DisplayNameTraKey
99ab9d4e DisplayVisionScoreOnScoreboard
2eb31462 Distance
232c53d0 Dodge
9b4ed6e7 DodgePerLevel
9c27db83 DontRefCountTargetableAndInvulnerable
d3689f20 Dot
f3cd2188 DotNoCombine
da701865 DotSlow
0dfd634b DragRegion
a0f67682 DragonFury
2b064793 DropRateTables
2384105a DurationWithoutSound
851facf4 DynamicParams
7085a6d6 DynamicSwitch
9bc6966b DynamicSwitchId
6fabf9a6 DynamicTextures
73463200 EasingType
56f6d83c Edge
0f383923 EffectDelay
5c1fc8bc EffectType
681a812f EmoteInfoPanel
ad003e37 EmoteWheelCenterButton
623567bf EmoteWheelLeftButton
02a31cbf EmoteWheelLowerButton
21bd5f54 EmoteWheelRightButton
1f30e7ae EmoteWheelUpperButton
a5fc4ee8 EmpoweredArrivalFile
c007a116 EmpoweredEffectFile
6fb394db EnableCustomPlayerScoreColoring
fea35e52 EnableExtendedTooltip
065db9cf EnableUnitStatusHealthBarNames
6a8e75aa End
3e6eebf5 EndPosition
5bf31310 EndingJointForTrailFollowTEMP
ed38c5a4 EnemyElementGroup
e0c6260a EnemyElements
15505df2 EnemyMagicalDamage
7158618f EnemyMagicalDamageCritical
918929db EnemyPhysicalDamage
cf8231fa EnemyPhysicalDamageCritical
9cd9c316 EnemyTrueDamage
6f720713 EnemyTrueDamageCritical
29cc5095 Energy
6f5882f3 Entries
64e11f77 EpicGameIcon
b3d8f4b2 EpicGameIconFull
d1f55da4 EpicGameIconLit
bc702c01 EpicGameIconUnlit
57f4d047 EpicStatStone
2a078c9c EventName
4a43d984 EventNameTraKey
b4d66609 EventToTrack
8ff5f744 EventsToTrack
8944ef10 ExpandButtonDefinition
e467132e ExpandedByDefault
92f1f329 Experience
aacfd877 FaceVelocity
77cd7e28 FadeInData
d8fb5a45 FadeOutData
c61cab67 FalloffRate
96f6d338 Ferocity
8bac98d3 FieldOfView
e76d37d6 FightRecapUiData
c7e16877 Filter
4c3c84af FilterType
abd6be4c Filters
4e08731b FlagDefinitions
81a7a5ec FlagRange
da5d575f Fleeing
817da519 FlexInstanceScale
033d98d7 FollowPath
10c450de FontFilePathBold
6b777382 FontFilePathItalics
4428d332 ForbiddenWordList
b6f5e3b2 FormulaPartRangeStyle
22203dd5 FormulaPartRangeStyleBonus
457f48aa FormulaPartRangeStyleBonusPercent
17788ae3 FormulaPartRangeStylePercent
1edf3401 FormulaPartStyle
9ba89630 FormulaPartStyleBonus
15a3d8c1 FormulaPartStyleBonusPercent
e797836e FormulaPartStylePercent
bb396953 FrameIcon
ff72f56a FramesPerSecond
258776e4 FresnelBlue
0d6bb10b FresnelGreen
78f890ff FresnelRed
dc849b9c FriendButtonDefinition
a052fb1d FriendEditButton
f86554fc FriendInviteButton
ee4a77b4 FromSlotId
c291a37a FullLossIcon
9ed64249 Function
ed7c7d0c FunctionDefinition
32e358c5 GainedExpText
1f8c185d GainedRatingText
ec6ea11c GameModeCharacterLists
8fea3d1e GameModeCustom1
8eea3b8b GameModeCustom2
d9363ec8 GameQuitEvent
f7eff847 GameStartEvent
cfe609d6 GeneralSettings
ec66d793 Gold
9e4fbdcb GridCheckFirstCell
d975d1a9 GridRegion
c83e08d0 GridSkipFirstCell
5fb91e8c Group
fb59da5c GroupLink
cfbebd9f Halo
e488d460 Header
30e01d78 HeaderTraKey
3a69585b Heal
6b98ed8f Health
5a03e317 HealthScarringFeedback
22693293 Heat
832c2cd8 HeathBarShake
6e9e07b3 HideEnemySpellsOnLoadingScreen
f3eb6a16 HitRegion
99715a8f HorizontalRulesInSpellTooltips
09dfef56 HotkeyButtonDefinition
c69133b3 HotkeyButtonTextSmall
c8b4c48c HotkeyQuickCastButtonDefinition
c9a8f32b HoverFrameIcon
dcfb1668 HoverIcon
bd983bd7 HudLayerAspect
227212f5 HudMuteEvent
3ffe79cc HudUnmuteEvent
37386ae0 ID
e64015f0 Icon
fc31b31f IconMinimap
77274757 IconPath
50ce2e41 IconSize
74180b10 IdleAnimationName
678523a2 IllustrationIcon
a3a2f55a IllustrationIconElement
1e71b297 Impact
60f740c4 InEase
2a2265d5 InQueueMusicState
78ba88b4 InactiveStateElements
5033088b InactiveTooltipTraKey
090aa9ab Index
25a63e0d IndividualBannerOverrides
bb895685 IndividualItemVisibility
7427aeb1 InfoButton
228ee863 InputParameters
c585b541 InterruptibleDamage
50c33eec InterruptibleDisable
36a37f21 InterruptibleImmobilize
67a3ba27 InventoryIconDefinition
023e40a9 InventoryIconLarge
e3f7ce73 InventoryIconMaterial
e963940d InventoryIconSmall
1bab837a InventoryPanelDefinition
e7edcaee Invisibility
47914bcd InviteButtonDefinition
3311b0c6 InvulnColorblindPalette
8ce9ceb1 InvulnDefaultPalette
5295465d InvulnerabilityHUD
72e2ca22 Invulnerable
cb42693f IsActive
2a5f41c5 IsDeathRecapSource
6a3e8175 IsDisabled
20281a7d IsDuration
df2b45ce IsEnabled
320475df IsEyeCandy
dc02fdae IsItemToggled
ec23b45f IsRecipe
1d09aa26 IsRetired
dfe787c4 IsSelected
34622f3c IsSpectatorOnly
9f3833e6 Item
6f2c83f4 ItemDetailsScene
6a06a297 ItemFrame
3b2ddd39 ItemGroup
dd0d2e93 ItemIcon
c78a7297 ItemSets
e010b82a ItemSetsHeaderRegion
05cac88f ItemSetsIconDefinition
81b48934 ItemSetsItemRegion
5c804387 ItemShopEnabled
a47a6adf ItemTags
f2443554 ItemUndo
2717837a ItemsEither
fc99a7b2 ItemsPerRow
