80333f35 10Year
1ee760be 1StarAoEDamage
440f813d 1StarBounces
6fb9af6a 1StarShieldValue
13957154 2012_Channel
1f037d8e 2012_Channel_Windup
ad33f9f3 2013_Dance
932ad59d 2013_Run_Haste
a5ab3ea6 2013_Spell4
a3b999e9 2StarAoEDamage
0d46330d 2StarShieldValue
4ff4792d 2v2Cameo_CameoGlow
975bbea6 2v2Cameo_CameoGlowFriendly
9dfac825 2v2Cameo_CameoGlowHostile
ff26fe78 2v2Cameo_CameoOverhead
9bfc8d5e 2v2Cameo_Gwen_Heal_Indicator_Locked_SORAKA_COPY
32230b03 2v2Cameo_Gwen_Heal_Indicator_SORAKA_COPY
2e79c61e 2v2Cameo_Gwen_Timer
7823436a 2v2Cameo_Gwen_targetting_beam
4047434c 2v2Cameo_Jhin_R_Big_mis
22424635 2v2Cameo_Jhin_R_small_mis
d1f3fd90 2v2Cameo_Jhin_W_Beam
d8f389c1 2v2Cameo_Jhin_mark_child
1517cabc 2v2Cameo_Jhin_mark_child_big
3f981f08 2v2Cameo_Jhin_mark_small
08c93525 2v2Cameo_Lux_Base_R_cas
d7d1526d 2v2Cameo_Lux_Base_R_mis_beam_middle
e726a85b 2v2Cameo_Lux_Base_R_tar
58705899 2v2Cameo_Lux_Beam_2
748ea1ad 2v2Cameo_Lux_Heimerdinger_TracerBeam
4aa1fe3e 2v2Cameo_Naafiri_Kalista_ViewCOne
8902ece4 2v2Cameo_Naafiri_Kalista_ViewCone2
251a5ce8 2v2Cameo_Naafiri_Nilah_Cone
2ea35d72 2v2Cameo_Naafiri_W_Beam_Packmate
a7f0efea 2v2Cameo_Naafiri_W_Dash
c36bcbf7 2v2Cameo_Naafiri_W_Dash_Packmate
21ff0ae9 2v2Cameo_Naafiri_W_Tar
574072f7 2v2Cameo_Naafiri_W_Tar_Indicator_Overhead_Enemy
5010ce26 2v2Cameo_Naafiri_W_Tar_Packmate
81a3d985 2v2Cameo_Naafiri_W_Windup
54fa76ca 2v2Cameo_Naafiri_W_Windup_Packmate
19c8c8cd 2v2Cameo_Naafiri_W_beam
c312ac2a 2v2Cameo_Pyke_E_Avatar
e4219b40 2v2Cameo_Pyke_E_Cas
e8ab379e 2v2Cameo_Pyke_E_Mis
5dde1b51 2v2Cameo_Pyke_E_Start
2037cf3b 2v2Cameo_Pyke_E_Stun_Mis
c3382fca 2v2Cameo_Pyke_E_Tar
0174909c 2v2Cameo_Pyke_E_beam
b8d315db 2v2Cameo_Pyke_E_cas_trail
67efd17e 2v2Cameo_Pyke_E_land
70a750ba 2v2Cameo_Pyke_E_land_tar
42e5f08e 2v2Cameo_Samira_P_Juggle_Mis
7f5e1c9a 2v2Cameo_Samira_P_Juggle_Tar
31a11f8f 2v2Cameo_Samira_P_Juggle_Tar_Child
e7458a37 2v2Cameo_Samira_P_Knockup
be135ff8 2v2Cameo_Samira_P_cas_trail
978115a5 2v2Cameo_Samira_R_After_Images
6927be51 2v2Cameo_Samira_R_Cas
3786430b 2v2Cameo_Samira_R_Range_Indicator
01478d9f 2v2Cameo_Samira_R_Tar
bee20fd0 2v2Cameo_Samira_R_Tracer_Flash
ab7cbc9b 2v2Cameo_Samira_R_mis
32e07461 2v2Cameo_Samira_Rose_Petal_Glow
44afdfda 2v2Cameo_Samira_Shell_child
9f363365 2v2Cameo_Samira_StyleUp
89d8e8ec 2v2Cameo_Samira_Style_A
8cd8eda5 2v2Cameo_Samira_Style_B
8bd8ec12 2v2Cameo_Samira_Style_C
86d8e433 2v2Cameo_Samira_Style_D
85d8e2a0 2v2Cameo_Samira_Style_E
88d8e759 2v2Cameo_Samira_Style_F
9bd90542 2v2Cameo_Samira_Style_S
16dcff2a 2v2Cameo_Samira_Ult_Ready
f6e75a8f 2v2Cameo_Shaco_BoxOverlay
13f6039c 2v2Cameo_Shaco_Q_poof
7d578bc3 2v2Cameo_Viego_P_SpiritShader
ec461848 2v2Cameo_Viego_P_SpiritShader_Enemy
669ba406 2v2Cameo_Viego_P_SpiritShader_inWorld_Enemy
74829e56 2v2Cameo_Viego_P_Tar
b30a6544 2v2Cameo_Viego_P_Timer
d08ed095 2v2GwenHeal_SorakaCopy
dfcff59a 2v2RingOfFire_BlankMis_SFX
d0add277 2v2_BuyPhasePurchaseReminderLock
def9aaca 2v2_BuyPhasePurchaseReminderLockBreak
1fd867b9 3001
a3db761c 3011
30d4054e 3026
856fecaa 3026_Buff_Revive
b7c24a41 3026_Buff_Will_Revive
35d64bc4 3033
2fd64252 3039
a0cea570 3046
acd0f6eb 3050
9fca26af 3065
a2ca2b68 3068
9fcc6546 3071
9ecc63b3 3072
a3cc6b92 3075
adeccefb 3083
b3ecd86d 3085
b1ecd547 3087
a7ecc589 3089
b3ef1704 3091
b0ef124b 3094
afef10b8 3095
9ead00d1 3100
9cacfdab 3102
9fad0264 3107
95acf2a6 3109
98aab8c8 3110
9daac0a7 3115
