31a95b53e1  tft9_augment_armorclademblem2_name
e768df4620 10year_startup_tip_1000
7d846fa111 10year_startup_tip_1001
e7943a2c9b 10year_startup_tip_1002
cfacee91c8 10year_startup_tip_1003
cfbec5c16b 10year_startup_tip_1004
f1986fb3b5 10year_startup_tip_1005
2555eda6c5 10year_startup_tip_1006
2c584b68fe 10year_startup_tip_1007
1127b1308f 10year_startup_tip_1008
11fdf47091 10year_startup_tip_1009
8892d6c3d7 10year_startup_tip_1010
95f8bb2acd 10year_startup_tip_1011
9cd2a9e14b 10year_startup_tip_1012
00bd372a2d 10year_startup_tip_1013
3ea255498c 10year_startup_tip_1014
78292af0c4 10year_startup_tip_1015
d1ec290875 10year_startup_tip_1017
60df3e3d7a 10year_startup_tip_1018
08dda62684 10year_startup_tip_1019
1cf2ca5d97 10year_startup_tip_1020
0b639bede3 10year_startup_tip_1021
df97bfbc6f 10year_startup_tip_1022
53fc759313 10year_startup_tip_1023
b6b8bea136 10year_startup_tip_1024
bcbce18a46 10year_startup_tip_1025
0d94047fc7 10year_startup_tip_1026
51104d6e32 10year_startup_tip_1027
a85825627b 10year_startup_tip_1028
6de473fcc8 10year_startup_tip_1029
e2dd7798a8 10year_startup_tip_1030
8d9744a4c4 10year_startup_tip_1031
5ce38a100b 10year_startup_tip_1032
c2f8383257 10year_startup_tip_1033
a669f84100 10year_startup_tip_1034
acba8ee502 10year_startup_tip_1035
a5ffe14645 10year_startup_tip_1036
8d9bc6a29c 10year_startup_tip_1037
0ea7f0ba60 10year_startup_tip_1038
59530ca1f9 10year_startup_tip_1039
8ce5c28ef4 10year_startup_tip_1040
d25c3d59d5 10year_startup_tip_1041
9c41074a48 10year_startup_tip_1042
5b986b37e4 10year_startup_tip_1043
4d03afa30b 10year_startup_tip_1044
94f50d212b 10year_startup_tip_1045
71ae6a98da 10year_startup_tip_1046
7f26cf9855 10year_startup_tip_1047
4a8a353bcd 10year_startup_tip_1048
e98c555cd2 10year_startup_tip_1049
df5c70e549 10year_startup_tip_1050
793113e8ea 3181buffname
022bc6fb6e 3181minionbuff
769297a697 aas-hour-1
1d49e3127f aas-hour-2
09b37f7608 aas-hour-3-5
e835aaa1b7 aas-hour-5-above
2b16cc6cb2 aas-reg
30863b5e06 adaptive_force_full_0
9d16391b90 adaptive_force_full_1
cba4332664 adaptive_force_stat_0
e1f103e89b adaptive_force_stat_1
9036da89c1 adaptive_force_tip_bonus_0
90a068e98f adaptive_force_tip_bonus_1
eb8dc5ec08 air_current_form_tooltip
2baafbb4bf air_current_meter_tooltip
94ac7a481c air_selection_button
35e893a107 akalidragon_beatmaker_tier1_name
fd9f48959d akalidragon_popqueen_tier1_name
94ca633c68 akalidragon_prodigy_tier1_name
cdc1e38698 akalidragon_pumpedup_tier1_name
7826730c42 akalidragon_soloist_tier1_name
2592d12452 apheliosgun_lorename_0
49afde8b86 apheliosgun_lorename_1
65cbbe1e60 apheliosgun_lorename_2
22a2110ef0 apheliosgun_lorename_3
ee6d74d473 apheliosgun_lorename_4
48cdde8f71 apheliosgun_lorename_5
3cba1390a2 arurf_tutorial_cards
7ff0caa6e3 banner_chibi_lil_devil_teemo
2038ba1375 banner_chibipandaannie
7540a93309 banner_chibisglux
15ce98bba1 banner_everythinggoesonarena
33e234fc6d banner_mechaprimezero
ef943a968e boost_description_1
a442fcad64 boost_description_2
fee87e8fdd boost_description_3
0c603a3ed1 boost_description_4
6b85095b20 boost_description_5
aa9fc900f4 boost_description_6
884b6ae14d boost_displayname_1
00a7c331c1 boost_displayname_2
573be51ce1 boost_displayname_3
e2adcc7971 boost_displayname_4
69ed0d525d boost_displayname_5
1ecbeb71f4 boost_displayname_6
1b63d0065d bountyhunter_bountyboard
69eac53b92 bountyhunter_bountyboard_0
09368a3cde bountyhunter_bountyboard_1
96220b80e0 bountyhunter_bountyboard_2
92fd6d65ef bountyhunter_bountyboard_3
95bc345b7c bountyhunter_claimedheader
4b859d4937 bountyhunter_nobountiesheader
156c95965b bountyhunter_tt_eastaltar
93c8b22b90 bountyhunter_tt_enemyaltar
bfd7fb9c8f bountyhunter_tt_vilemaw
94cf3ec835 bountyhunter_tt_westaltar
9b8339cd8c bountyhunter_unclaimedheader
98e502eb23 bountyhuntertarget1_claimed_state_0
4313410860 bountyhuntertarget1_claimed_state_1
38ca24543e bountyhuntertarget1_claimed_state_2
048064b53c bountyhuntertarget1_unclaimed_state_0
cdf5d78991 bountyhuntertarget1_unclaimed_state_1
61861ae11b bountyhuntertarget1_unclaimed_state_2
dc6b4047f2 bountyhuntertarget2_claimed_state_0
40a1ed04f4 bountyhuntertarget2_claimed_state_1
8d7ea709ff bountyhuntertarget2_claimed_state_2
ea5ebdfe9d bountyhuntertarget2_unclaimed_state_0
d70bacabbc bountyhuntertarget2_unclaimed_state_1
d177366d09 bountyhuntertarget2_unclaimed_state_2
c05edc07d7 bountyhuntertarget3_claimed_state_0
9637655b40 bountyhuntertarget3_claimed_state_1
f825ca95ed bountyhuntertarget3_claimed_state_2
279a90d669 bountyhuntertarget3_unclaimed_state_0
750a4fade3 bountyhuntertarget3_unclaimed_state_1
eea86e0e5b bountyhuntertarget3_unclaimed_state_2
f368c60fdc bountyhuntertarget4_claimed_state_0
f28702193a bountyhuntertarget4_claimed_state_1
ce2baf9829 bountyhuntertarget4_claimed_state_2
6e255a8eac bountyhuntertarget4_unclaimed_state_0
7d58294fc6 bountyhuntertarget4_unclaimed_state_1
e5096f2437 bountyhuntertarget4_unclaimed_state_2
1d30d1a0da bountyhuntertarget5_claimed_state_0
181ec5ce25 bountyhuntertarget5_claimed_state_1
a6e52ff3da bountyhuntertarget5_claimed_state_2
50d06a8a64 bountyhuntertarget5_claimed_state_3
8b11ed8f48 bountyhuntertarget5_claimed_state_4
356ffb2400 bountyhuntertarget5_unclaimed_state_0
62e8ef4635 bountyhuntertarget5_unclaimed_state_1
3fadac02bd bountyhuntertarget5_unclaimed_state_2
3414f4cc2c bountyhuntertarget5_unclaimed_state_3
ef96428d78 bountyhuntertarget5_unclaimed_state_4
9f68ba338c bountyhuntertarget6_claimed_state_0
26308e2e4c bountyhuntertarget6_claimed_state_1
727416599a bountyhuntertarget6_claimed_state_2
60ce820f36 bountyhuntertarget6_claimed_state_3
719d7d50a8 bountyhuntertarget6_claimed_state_4
1961bd88c2 bountyhuntertarget6_unclaimed_state_0
67f074c761 bountyhuntertarget6_unclaimed_state_1
537052c84e bountyhuntertarget6_unclaimed_state_2
51b0663db2 bountyhuntertarget6_unclaimed_state_3
4347778f8c bountyhuntertarget6_unclaimed_state_4
7b230a2654 buff_3040shield_tooltip
105c72c7b8 buff_3050ally_name
5fe1451041 buff_3050ally_tooltip
afe1194ee0 buff_3050self_name
7012afc52e buff_3050self_tooltip
98260d39c2 buff_3110_tooltip
224872fa54 buff_6653burn_name
c740f04a08 buff_6653burn_tooltip
577304a72f buff_6653shred_name
d561a985ec buff_6653shred_tooltip
8068aade8a buff_6655buff_name
28b213cce0 buff_6655buff_tooltip
3934a5a40c buff_6656root_name
